Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Target no-crawl reason,Alt attribute,Is source canonical,Is source noindex,Is link internal
Image,false,https://utahwatergardens.com/pond-services/water-quality/orem,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/water-quality/bountiful,200,https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-supplies/pumps-aeration/draper,200,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/spanish-fork,200,https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/springville,200,https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/riverdale,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/repair/orem,200,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-supplies/filtration/kaysville,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/repair/lehi,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/orem,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-supplies/filtration/farr-west,200,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/repair/orem,200,https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-supplies/liners/bountiful,200,https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/water-quality/ogden,200,https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/water-quality/riverdale,200,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/repair/west-valley-city,200,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/cottonwood-heights,200,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,200,,,false,false,true
Image,false,https://utahwatergardens.com/pond-services/design-build/syracuse,200,https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg,200,,,false,false,true
